category	domain_or_value
domains.actions_inbound.full_domains	maven.pkg.github.com
domains.actions_inbound.full_domains	docker.pkg.github.com
domains.actions_inbound.full_domains	docker-proxy.pkg.github.com
domains.actions_inbound.full_domains	pypi.pkg.github.com
domains.actions_inbound.full_domains	containers.pkg.github.com
domains.actions_inbound.full_domains	swift.pkg.github.com
domains.actions_inbound.full_domains	pkg.actions.githubusercontent.com
domains.actions_inbound.full_domains	results-receiver.actions.githubusercontent.com
domains.actions_inbound.full_domains	productionresultssa0.blob.core.windows.net
domains.actions_inbound.full_domains	productionresultssa1.blob.core.windows.net
domains.actions_inbound.full_domains	productionresultssa2.blob.core.windows.net
domains.actions_inbound.full_domains	productionresultssa3.blob.core.windows.net
domains.actions_inbound.full_domains	productionresultssa4.blob.core.windows.net
domains.actions_inbound.full_domains	productionresultssa5.blob.core.windows.net
domains.actions_inbound.full_domains	productionresultssa6.blob.core.windows.net
domains.actions_inbound.full_domains	productionresultssa7.blob.core.windows.net
domains.actions_inbound.full_domains	productionresultssa8.blob.core.windows.net
domains.actions_inbound.full_domains	productionresultssa9.blob.core.windows.net
domains.actions_inbound.full_domains	productionresultssa10.blob.core.windows.net
domains.actions_inbound.full_domains	productionresultssa11.blob.core.windows.net
domains.actions_inbound.full_domains	productionresultssa12.blob.core.windows.net
domains.actions_inbound.full_domains	productionresultssa13.blob.core.windows.net
domains.actions_inbound.full_domains	productionresultssa14.blob.core.windows.net
domains.actions_inbound.full_domains	productionresultssa15.blob.core.windows.net
domains.actions_inbound.full_domains	productionresultssa16.blob.core.windows.net
domains.actions_inbound.full_domains	productionresultssa17.blob.core.windows.net
domains.actions_inbound.full_domains	productionresultssa18.blob.core.windows.net
domains.actions_inbound.full_domains	productionresultssa19.blob.core.windows.net
domains.actions_inbound.full_domains	hosted-compute-request-orchestrator-prod-iad-01.githubapp.com
domains.actions_inbound.full_domains	hosted-compute-request-orchestrator-prod-iad-02.githubapp.com
domains.actions_inbound.full_domains	hosted-compute-request-orchestrator-prod-eus-01.githubapp.com
domains.actions_inbound.full_domains	hosted-compute-request-orchestrator-prod-eus-02.githubapp.com
domains.actions_inbound.full_domains	mpsghub.actions.githubusercontent.com
domains.actions_inbound.full_domains	pipelinesghubeus1.actions.githubusercontent.com
domains.actions_inbound.full_domains	pipelinesghubeus10.actions.githubusercontent.com
domains.actions_inbound.full_domains	pipelinesghubeus11.actions.githubusercontent.com
domains.actions_inbound.full_domains	pipelinesghubeus12.actions.githubusercontent.com
domains.actions_inbound.full_domains	pipelinesghubeus13.actions.githubusercontent.com
domains.actions_inbound.full_domains	pipelinesghubeus14.actions.githubusercontent.com
domains.actions_inbound.full_domains	pipelinesghubeus15.actions.githubusercontent.com
domains.actions_inbound.full_domains	pipelinesghubeus2.actions.githubusercontent.com
domains.actions_inbound.full_domains	pipelinesghubeus20.actions.githubusercontent.com
domains.actions_inbound.full_domains	pipelinesghubeus21.actions.githubusercontent.com
domains.actions_inbound.full_domains	pipelinesghubeus22.actions.githubusercontent.com
domains.actions_inbound.full_domains	pipelinesghubeus23.actions.githubusercontent.com
domains.actions_inbound.full_domains	pipelinesghubeus24.actions.githubusercontent.com
domains.actions_inbound.full_domains	pipelinesghubeus25.actions.githubusercontent.com
domains.actions_inbound.full_domains	pipelinesghubeus26.actions.githubusercontent.com
domains.actions_inbound.full_domains	pipelinesghubeus3.actions.githubusercontent.com
domains.actions_inbound.full_domains	pipelinesghubeus4.actions.githubusercontent.com
domains.actions_inbound.full_domains	pipelinesghubeus5.actions.githubusercontent.com
domains.actions_inbound.full_domains	pipelinesghubeus6.actions.githubusercontent.com
domains.actions_inbound.full_domains	pipelinesghubeus7.actions.githubusercontent.com
domains.actions_inbound.full_domains	pipelinesghubeus8.actions.githubusercontent.com
domains.actions_inbound.full_domains	pipelinesghubeus9.actions.githubusercontent.com
domains.actions_inbound.full_domains	pipelinesproxcnc1.actions.githubusercontent.com
domains.actions_inbound.full_domains	pipelinesproxcus1.actions.githubusercontent.com
domains.actions_inbound.full_domains	pipelinesproxeau1.actions.githubusercontent.com
domains.actions_inbound.full_domains	pipelinesproxjpw1.actions.githubusercontent.com
domains.actions_inbound.full_domains	pipelinesproxsdc1.actions.githubusercontent.com
domains.actions_inbound.full_domains	pipelinesproxweu1.actions.githubusercontent.com
domains.actions_inbound.full_domains	pipelinesproxwus31.actions.githubusercontent.com
domains.actions_inbound.full_domains	pipelinesproxwus32.actions.githubusercontent.com
domains.actions_inbound.full_domains	runnerghubeus1.actions.githubusercontent.com
domains.actions_inbound.full_domains	runnerghubeus20.actions.githubusercontent.com
domains.actions_inbound.full_domains	runnerghubeus21.actions.githubusercontent.com
domains.actions_inbound.full_domains	runnerghubwus31.actions.githubusercontent.com
domains.actions_inbound.full_domains	runnerproxcnc1.actions.githubusercontent.com
domains.actions_inbound.full_domains	runnerproxcus1.actions.githubusercontent.com
domains.actions_inbound.full_domains	runnerproxeau1.actions.githubusercontent.com
domains.actions_inbound.full_domains	runnerproxjpw1.actions.githubusercontent.com
domains.actions_inbound.full_domains	runnerproxsdc1.actions.githubusercontent.com
domains.actions_inbound.full_domains	runnerproxweu1.actions.githubusercontent.com
domains.actions_inbound.full_domains	tokenghub.actions.githubusercontent.com
domains.actions_inbound.wildcard_domains	*.githubusercontent.com
domains.actions_inbound.wildcard_domains	*.core.windows.net
domains.actions_inbound.wildcard_domains	*.githubapp.com
domains.actions_inbound.wildcard_domains	*.github.com
domains.actions_inbound.wildcard_domains	github.com
domains.actions_inbound.wildcard_domains	ghcr.io
domains.artifact_attestations.trust_domain	
domains.artifact_attestations.services	*.actions.githubusercontent.com
domains.artifact_attestations.services	tuf-repo.github.com
domains.artifact_attestations.services	fulcio.githubapp.com
domains.artifact_attestations.services	timestamp.githubapp.com
